voltage,timestamp,cb_settings,cb_pusm,ngood,maxgood,mingood,maxgood_index,mingood_index,third,third_index,used,used_index,used_phases,time,TID
float64,object,object,object,int64,int64,int64,int64,int64,int64,int64,int64,int64,object,datetime64[ns],float64
1.08,30Sep_162952,[15 24 25 26 27 28 29 30 31 56 57 58 59 60 61 62],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,62,15,30,15,28,20,28,20,[ 2  9 11  3 11  3  3 12  3  3  3  3],2022-09-30 16:30:17,72.31679166666666
1.2,30Sep_163846,[14 15 24 25 26 27 28 29 30 31 56 57 58 59 60 61],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,61,14,29,14,27,19,27,19,[ 5  4 12  5  5  6 12  6  5  6  5  5],2022-09-30 16:39:02,73.60741666666667
1.32,30Sep_165408,[12 13 14 15 24 25 26 27 28 29 30 31 56 57 58 59 60],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],17,60,12,28,12,25,17,25,17,[ 9  8  2  9  2 10  2  2  9  2  9 10],2022-09-30 16:54:25,75.87645833333333
1.08,30Sep_170338,[15 24 25 26 27 28 29 30 31 56 57 58 59 60 61 62],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,62,15,30,15,28,20,28,20,[ 2  9 11 11 11 12  3 12 11  3  3  3],2022-09-30 17:04:02,77.29491666666665
1.2,30Sep_171232,[14 15 24 25 26 27 28 29 30 31 56 57 58 59 60 61],[7 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,61,14,29,14,27,19,26,18,[ 5  3 12  5 12  6  5  6  5  6  5  5],2022-09-30 17:12:48,78.58800000000001
1.32,30Sep_172803,[12 13 14 15 24 25 26 27 28 29 30 31 56 57 58 59 60],[7 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],17,60,12,28,12,25,17,25,17,[ 9  8  2  9  2  2  2  2  9  2 10 10],2022-09-30 17:28:19,80.87670833333333
1.08,30Sep_173743,[15 24 25 26 27 28 29 30 31 56 57 58 59 60 61 62],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,62,15,30,15,28,20,28,20,[ 3 10 11 11 11 12  3 12  3  3  3  3],2022-09-30 17:38:07,82.32220833333334
1.2,30Sep_174637,[14 15 24 25 26 27 28 29 30 31 56 57 58 59 60 61],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,61,14,29,14,27,19,27,19,[ 5  4  5  5 12  6  5  6  5  6  5  5],2022-09-30 17:46:53,83.61529166666666
1.32,30Sep_180038,[12 13 14 15 24 25 26 27 28 29 30 31 56 57 58 59 60],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],17,60,12,28,12,25,17,25,17,[ 9  8  2  2  2  2  2  2  9  2  2 10],2022-09-30 18:00:54,85.68275
1.08,30Sep_181008,[15 24 25 26 27 28 29 30 31 56 57 58 59 60 61 62 63],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],17,63,15,31,15,28,20,28,20,[ 3 10 11 11  3 12  3 12  3 11  3  3],2022-09-30 18:10:32,87.10366666666667
